volunteer_rating_id,user_id,req_id,rating,feedback,last_updated_at
26,SID-00-000-000-078,REQ-000017,POOR,Arrived late but did a great job once there.,2026-05-16 11:18:04.000
27,SID-00-000-000-097,REQ-000018,GOOD,Very punctual and helpful throughout the visit.,2026-05-28 05:01:32.000
28,SID-00-000-000-383,REQ-000016,AVERAGE,Did not fully complete the requested task.,2026-04-07 23:32:15.000
29,SID-00-000-000-333,REQ-000008,BELOW_AVERAGE,Extremely knowledgeable and patient with our questions.,2025-10-29 20:05:16.000
30,SID-00-000-000-060,REQ-000008,BELOW_AVERAGE,Friendly and professional throughout the interaction.,2026-08-04 04:02:19.000
31,SID-00-000-433-713,REQ-000009,BELOW_AVERAGE,Went above and beyond to help our family.,2026-05-30 23:14:41.000
32,SID-00-000-433-713,REQ-000015,EXCELLENT,Communicated clearly and followed up as promised.,2026-07-15 02:05:35.000
33,SID-00-000-849-283,REQ-000008,POOR,Arrived late but did a great job once there.,2026-05-13 00:19:18.000
34,SID-00-000-760-566,REQ-000006,GOOD,Communicated clearly and followed up as promised.,2025-12-24 22:03:32.000
35,SID-00-000-000-082,REQ-000024,EXCELLENT,Went above and beyond to help our family.,2025-12-14 03:33:12.000
36,SID-00-000-000-091,REQ-000018,BELOW_AVERAGE,,2025-12-02 04:28:35.000
37,SID-00-000-655-704,REQ-000014,BELOW_AVERAGE,Very punctual and helpful throughout the visit.,2026-01-30 06:45:39.000
38,SID-00-000-000-092,REQ-000014,GOOD,Friendly and professional throughout the interaction.,2025-12-15 04:42:52.000
39,SID-00-000-060-168,REQ-000024,EXCELLENT,,2026-05-14 01:20:33.000
40,SID-00-000-896-736,REQ-000024,POOR,Very punctual and helpful throughout the visit.,2026-08-12 17:37:04.000
41,SID-00-000-576-102,REQ-000014,POOR,Arrived late but did a great job once there.,2026-04-14 08:40:12.000
42,SID-00-000-682-105,REQ-000006,AVERAGE,Extremely knowledgeable and patient with our questions.,2025-11-17 22:50:03.000
43,SID-00-000-000-082,REQ-000001,BELOW_AVERAGE,Arrived late but did a great job once there.,2025-12-08 00:17:33.000
44,SID-00-000-576-102,REQ-000013,BELOW_AVERAGE,Communicated clearly and followed up as promised.,2026-06-02 13:23:21.000
45,SID-00-000-000-106,REQ-000019,BELOW_AVERAGE,Extremely knowledgeable and patient with our questions.,2026-07-03 03:00:54.000
46,SID-00-000-545-784,REQ-000017,AVERAGE,Arrived late but did a great job once there.,2026-08-04 23:15:46.000
47,SID-00-000-882-111,REQ-000012,BELOW_AVERAGE,,2026-03-19 16:49:49.000
48,SID-00-000-000-094,REQ-000009,POOR,Was polite but could have been more proactive.,2026-02-11 15:53:16.000
49,SID-00-000-000-364,REQ-000020,BELOW_AVERAGE,Communicated clearly and followed up as promised.,2026-06-01 08:25:52.000
50,SID-00-000-027-574,REQ-000022,EXCELLENT,Was polite but could have been more proactive.,2026-05-08 05:21:55.000
51,SID-00-000-000-107,REQ-000007,POOR,,2026-03-29 00:48:54.000
52,SID-00-000-591-196,REQ-000016,POOR,Went above and beyond to help our family.,2026-05-08 01:08:36.000
53,SID-00-000-591-196,REQ-000004,GOOD,,2026-02-11 13:34:52.000
54,SID-00-000-691-882,REQ-000014,BELOW_AVERAGE,Communicated clearly and followed up as promised.,2026-04-07 15:48:01.000
55,SID-00-000-000-086,REQ-000018,BELOW_AVERAGE,Friendly and professional throughout the interaction.,2025-11-03 03:49:48.000
