NGO_name,Location,Website,Rating,Meta_data
Bishop Sullivan Center,"Kansas City, MO",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=3,4,"Large-sized, Human services, Basic and emergency aid"
Ramona Food and Clothes Closet Inc.,"RAMONA, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=3,3,"Medium-sized, Thrift shops"
Room to Grow,"Bronx, NY",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=3,3,"Large-sized, Human services, Family services"
St. Andrews Childrens Clinic Inc.,"GREEN VALLEY, AZ",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=3,3,"Large-sized, Health care clinics, Youth services"
Clothes to Kids of Denver,"DENVER, CO",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=3,3,"Large-sized, Public affairs, Free goods distribution"
Charity Newsies,"Columbus, OH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=3,3,"Large-sized, Education, Basic and emergency aid"
Richmond Friends of the Homeless,"Moseley, VA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=4,3,"Medium-sized, Basic and emergency aid, Food aid"
The Clothes Less Traveled Thrift Shop Inc.,"Peachtree City, GA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=4,3,"Medium-sized, Philanthropy, Thrift shops"
One Small Step | Clothes Cabin,"Gilbert, AZ",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=4,3,"Medium-sized, Employment, Basic and emergency aid"
Clothesline for Arlington Kids,"Arlington, VA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=4,3,"Small-sized, Free goods distribution"
Kids Clothes Club Inc.,"BROOKLINE, MA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=4,3,"Small-sized, Human services, Basic and emergency aid"
Food Program and Clothesline of Jackson,"JACKSON, OH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=4,3,"Small-sized, Dining services"
Community Clothes Charity,"BRYN MAWR, PA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=4,3,"Small-sized, Thrift shops"
Santa Clothes Club Inc.,"EVANSVILLE, IN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=4,3,"Small-sized, Human services, Gift distribution"
Clothes to Kids Ri,"JOHNSTON, RI",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=4,3,"Small-sized, Basic and emergency aid"
Clothes for Kids,"LYNNWOOD, WA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=4,3,"Medium-sized, Human services"
Clothes and Food Basket of Lagrange County Inc.,"LAGRANGE, IN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=5,2,"Small-sized, Free goods distribution, Food aid"
Clothes to the Rescue Incorporated,"MILWAUKEE, WI",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=5,2,"Small-sized, Abuse prevention"
Community Crusade for Children,"New Haven, CT",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=5,1,"Medium-sized, Disaster relief"
Pros Fore Clothes Foundation Inc.,"INDIANAPOLIS, IN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=5,N/A,Disaster relief
Born Again Clothes Inc.,"CLIMAX SPRGS, MO",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=5,N/A,Human services
Clothes for Kids Sake Inc.,"Mountain Lakes, NJ",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=5,N/A,Large-sized
DIVADIVO A WOMENS AND MENS CLOTHES CLOSET,"MILWAUKEE, WI",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=5,N/A,Special population support
Laingsburg Clothesline,"OWOSSO, MI",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=5,N/A,Thrift shops
Wloc Clothes for Kids Inc.,"HORSE CAVE, KY",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=5,N/A,Human services
Stevensville Clothes Closet Inc.,"STEVENSVILLE, MT",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=5,N/A,Basic and emergency aid
DIVADIVO A WOMENS AND MENS CLOTHES CLOSET,"MILWAUKEE, WI",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=6,N/A,Special population support
Clothes Closet Mission Baird Ministerial Alliance,"BAIRD, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=6,N/A,Food banks
Warm Clothes for Kids of Logan County,"BELLEFONTAINE, OH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=6,N/A,Basic and emergency aid
Operation Santa Clothes A Nonprofit Corp of Rotary Club Covina-Sunrise,"COVINA, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=6,N/A,Gift distribution
Stevensville Clothes Closet Inc.,"STEVENSVILLE, MT",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=6,N/A,Basic and emergency aid
Clothes for Kids Sake Inc.,"Mountain Lakes, NJ",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=6,N/A,Large-sized
Pros Fore Clothes Foundation Inc.,"INDIANAPOLIS, IN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=6,N/A,Disaster relief
Leon Community Food Pantry and Clothes Closet,"JEWETT, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=6,N/A,Food banks
Clean Clothes Foundation,"Loveland, OH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=6,N/A,"Public affairs, Free goods distribution"
Pittsfield Clothes Closet,"PITTSFIELD, NH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=6,N/A,Foundations
Clothes to Kids of Haywood County,"CLYDE, NC",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=7,N/A,"Victim aid, Thrift shops"
Clothes Closet,"Woodland Park, CO",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=7,N/A,
Community Clothes Closet,"HETTINGER, ND",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=7,N/A,Thrift shops
Clay County Clothes Closet,"KANSAS CITY, MO",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=7,N/A,Human services
Odessa Clothes Closet Inc.,"ODESSA, MO",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=7,N/A,Basic and emergency aid
Cumberland Clothes Closet,"FARMVILLE, VA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=7,N/A,Human services
Clothes Closet,"CAMDEN, SC",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=7,N/A,Personal services
Steele County Clothesline Inc.,"Owatonna, MN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=7,N/A,
COMMUNITY CLOTHESLINE INC,"ROCHESTER, MN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=7,N/A,Basic and emergency aid
Community Clothes Closet,"JUSTIN, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=7,N/A,Human services
HILMAR CLOTHES FOR KIDS,"HILMAR, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=8,N/A,
Fort Gaines Community Clothes Closet Corporation,"FORT GAINES, GA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=8,N/A,Historical activities
Bloomer Community Clothes Closet Inc.,"BLOOMER, WI",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=8,N/A,Thrift shops
COOL CLOTHES CLOSET OF SOUTH PALM BEACH COUNTY INC,"DELRAY BEACH, FL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=8,N/A,Public affairs
SOUTHEAST COMMUNITY FOOD PANTRY & CLOTHES CLOSET INC,"PORTLAND, OR",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=8,N/A,"Small-sized, Food banks"
Family Clothes Tree Inc.,"DOVER, PA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=8,N/A,Thrift shops
Clothes Closet Mission Baird Ministerial Alliance,"BAIRD, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=8,N/A,Food banks
New Clothes 4 Gods Kids,"NEWPORT BEACH, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=8,N/A,"Christianity, Gift distribution"
Clothes to Kids of Fairfield County Inc.,"STAMFORD, CT",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=8,N/A,"Public affairs, Free goods distribution"
Leon Community Food Pantry and Clothes Closet,"JEWETT, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=8,N/A,Food banks
Clean Clothes Foundation,"Loveland, OH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=9,N/A,"Public affairs, Free goods distribution"
Clothes Closet Inc.,"LK HAVASU CTY, AZ",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=9,N/A,"Small-sized, Basic and emergency aid"
SARAHS CLOTHES CLOSET & FOOD PANTRY,"DECATUR, GA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=9,N/A,Food aid
Clothes Closet & More,"JACKSONVILLE, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=9,N/A,"Human services, Christianity"
Clothes for the Needy Inc.,"DALLAS, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=9,N/A,"Small-sized, Foundations"
Hart County Clothes Closet-Food,"HARTWELL, GA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=9,N/A,"Agriculture, fishing and forestry"
Mannington Food Pantry & Clothes Closet Inc.,"MANNINGTON, WV",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=9,N/A,Food banks
Woodstock Clothes Closet Inc.,"Woodstock, VA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=9,N/A,Thrift shops
Pittsfield Clothes Closet,"PITTSFIELD, NH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=9,N/A,Foundations
Golden Rule Clothes Closet & More,"FORT SMITH, AR",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=9,N/A,"Small-sized, Basic and emergency aid, Free goods distribution"
THE CLOTHES CLOSET INC,"Foley, AL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=10,N/A,Thrift shops
Hickory Ridge Food Pantry & Clothes Closet,"HICKORY RIDGE, AR",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=10,N/A,Food banks
Clothes With A Cause,"Heber City, UT",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=10,N/A,Community service
Swaddling Clothes Inc.,"INDIANAPOLIS, IN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=10,N/A,Thrift shops
Career Clothes Closet,"Clintonville, WI",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=10,N/A,Hospital care
Clothes for Joes Inc.,"FORT WAYNE, IN",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=10,N/A,Basic and emergency aid
Clothes for Youth Charity Inc.,"SAN DIEGO, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=10,N/A,Basic and emergency aid
CARE CLOTHES INC,"SYLVANIA, OH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=10,N/A,
CLOTHES TO KIDS BAY AREA,"LAFAYETTE, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=10,N/A,Youth services
Clothes for Souls,"Benicia, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=10,N/A,Arts and culture
Pounds of Clothes,"PEMBROKE PNES, FL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=11,N/A,Human services
First Impressions - A Work Ready Clothes Closet Inc.,"CLAYTON, GA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=11,N/A,Basic and emergency aid
CLOTHES FOR A CAUSE INC,"CHARLESTON, SC",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=11,N/A,
Kings Clothes & Other Things,"BARDWELL, KY",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=11,N/A,Thrift shops
CARING PLACE COMMUNITY CLOTHES CLOSET AND MINISTRY OF HOPE INC,"MOUNT HOPE, AL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=11,N/A,
Caring Clothes Closet Rva Inc.,"HENRICO, VA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=11,N/A,Basic and emergency aid
Fostering Hope Clothes Closet Inc.,"JEFFERSON, GA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=11,N/A,Youth services
Clothes for Helping,"HUNTINGTN BCH, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=11,N/A,Basic and emergency aid
Good Buy Clothes,"POINT ARENA, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=11,N/A,Human services
Clothes 4 Kids Closet Inc.,"LAKE CITY, FL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=11,N/A,Human services
Duquoin Community Clothes Closet Inc. Nfp,"DU QUOIN, IL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=12,N/A,Public affairs
Clothes 4 Confidence Inc. Nfp,"Saint Louis, MO",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=12,N/A,Foundations
CLOTHESAWAY INC,"BOCA RATON, FL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=12,N/A,
Clothes to Children,"ROGERS, AR",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=12,N/A,"Victim aid, Free goods distribution"
GOOD CLOTHES GOOD PEOPLE INC,"LOUISVILLE, KY",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=12,N/A,
Magic Clothes Bus Inc.,"HUTCHINSON, KS",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=12,N/A,Philanthropy
Swaddling Clothes Inc. Nfp,"BALLWIN, MO",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=12,N/A,Human services
Clothes 4 Kids Inc.,"ZEPHYRHILLS, FL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=12,N/A,Public affairs
CLOTHES OF MANY COLORS INC,"BIXBY, MO",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=12,N/A,
MEADE COUNTY CLOTHES CLOSET & FOOD PANTRY,"Brandenburg, KY",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=12,N/A,Human services
Change of Clothes Inc.,"MILFORD, CT",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=13,N/A,LGBTQ rights
Good Shepherds Clothes Closet,"SPARKS, NV",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=13,N/A,"Human services, Free goods distribution"
Confidence Clothes Youth Inc.,"Fairfax, VA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=13,N/A,Youth services
JOYS BABY CLOTHES RECYCLING,"LOS ANGELES, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=13,N/A,Youth services
Caring Clothes Closet Rva Inc.,"HENRICO, VA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=13,N/A,Basic and emergency aid
THE CLOTHES CLOSET INC,"Foley, AL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=13,N/A,Thrift shops
GOOD CLOTHES GOOD PEOPLE INC,"LOUISVILLE, KY",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=13,N/A,
COLLECTING CLOTHES 4 CHARITY,"BOZEMAN, MT",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=13,N/A,Public affairs
FEEL YOUR CLOTHES CORP,"CORAL GABLES, FL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=13,N/A,Environmental education
Totally Free Clothes Store,"SHELBY, NC",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=13,N/A,Human services
Marys Clothesline,"WHEELERSBURG, OH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=14,N/A,"Human services, Education"
Clothes-Pin,"PHILADELPHIA, PA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=14,N/A,Basic and emergency aid
His Childrens Clothes Closet,"LODI, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=14,N/A,Youth services
Clothes for A Cause Llc,"N ATTLEBORO, MA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=14,N/A,Philanthropy
Mount Gilead Clothes Closet Inc.,"MOUNT GILEAD, OH",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=14,N/A,Human services
They Need Clothes,"IDLEDALE, CO",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=14,N/A,Civic participation
Clothes and Coats for Cuties,"AUSTIN, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=14,N/A,Philanthropy
Clothes Helpers Inc.,"JEROME, ID",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=14,N/A,Human services
Klean Clothes Co Inc.,"CHARLOTTE, NC",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=14,N/A,Basic and emergency aid
LAMBERT CLOTHES FOR A CAUSE,"SUWANEE, GA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=14,N/A,Philanthropy
Cas-K-It Clothes & Accessories Inc.,"MOUNT OLIVE, NC",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=15,N/A,Human services
Renton Kiwanis Clothes Bank,"RENTON, WA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=15,N/A,Basic and emergency aid
RADICAL CLOTHES SWAP,"GLENDALE, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=15,N/A,Environment
Clothespins Inc.,"SAGINAW, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=15,N/A,Human services
CLOTHES & CONFIDENCE,"ALTAMONTE SPG, FL",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=15,N/A,Youth services
KIDS CLOTHESVINE,"S GREENFIELD, MO",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=15,N/A,Youth services
CLOTHES AND A DREAM,"TEXAS CITY, TX",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=15,N/A,Youth development
CLOTHES DEPOT UNLIMITED INC,"SAN DIEGO, CA",https://www.charitynavigator.org/search?q=clothes&sort=rating&page=15,N/A,Human services
