city_id,state_id,city_name,lattitude,longitude,last_updated_at
57,9,Port Manchesterwood,53.481862,-2.242486,2024-11-07 18:13:27
58,9,North Manchesterwood,53.475817,-2.238344,2025-08-17 04:41:20
59,9,South Manchesterdale,53.482032,-2.240966,2025-04-21 23:28:43
60,9,Lake Manchesterdale,53.479824,-2.244643,2024-08-07 01:30:50
61,10,Edinburgh,55.9533,-3.1883,2025-04-21 06:33:35
62,10,Glasgow,55.8642,-4.2518,2024-11-20 23:39:52
63,10,South Glasgowburg,55.865928,-4.254554,2025-05-31 22:53:58
64,10,West Edinburghford,55.954413,-3.185615,2025-07-15 23:57:10
65,10,Lake Edinburghford,55.952297,-3.191824,2025-05-01 23:16:48
66,10,East Edinburghbridge,55.952945,-3.187726,2024-09-11 05:17:49
67,11,Mumbai,19.076,72.8777,2025-08-22 07:01:54
68,11,Pune,18.5204,73.8567,2025-08-12 21:30:00
69,11,Mount Puneton,18.522535,73.854045,2024-12-26 18:48:24
70,11,Fort Puneton,18.516784,73.854013,2025-03-06 02:47:47
71,11,West Mumbaiton,19.075149,72.876009,2025-07-14 04:57:14
72,11,North Puneburg,18.523729,73.855595,2025-05-14 16:17:27
73,12,Bengaluru,12.9716,77.5946,2024-09-15 11:30:01
74,12,Mysuru,12.2958,76.6394,2025-07-06 10:22:14
75,12,East Mysuruford,12.299995,76.644207,2024-03-12 05:02:48
76,12,Lake Bengalurucrest,12.972244,77.589871,2024-02-01 16:12:53
77,12,East Mysurufield,12.293402,76.637674,2024-01-22 04:09:15
78,12,Port Mysuruwood,12.293583,76.643912,2024-05-10 00:42:07
79,13,New Delhi,28.6139,77.209,2025-08-02 10:22:34
80,13,Port Newville,28.614959,77.213637,2025-03-15 06:23:04
81,13,East Newhaven,28.609981,77.204257,2025-06-03 05:21:00
82,13,Lake Newburg,28.60966,77.210906,2025-03-07 00:06:27
83,13,South Newhaven,28.617403,77.210004,2025-01-06 05:57:53
84,14,Sydney,-33.8688,151.2093,2024-08-05 20:51:16
85,14,Newcastle,-32.9283,151.7817,2024-12-14 17:56:38
86,14,Fort Sydneyhaven,-33.867641,151.213496,2024-10-10 02:00:33
87,14,Mount Newcastlewood,-32.925043,151.782625,2024-07-14 11:15:46
88,14,South Sydneyhaven,-33.864984,151.206739,2025-02-21 00:35:48
89,14,Port Newcastlefield,-32.928357,151.77995,2024-09-04 07:30:41
90,15,Melbourne,-37.8136,144.9631,2024-07-08 15:13:47
91,15,Geelong,-38.1499,144.3617,2025-05-10 17:46:37
92,15,New Melbourneburg,-37.814556,144.960533,2025-06-22 04:18:06
93,15,Mount Geelongbridge,-38.149591,144.360955,2024-07-17 18:14:23
94,15,Port Geelongford,-38.152191,144.359214,2024-07-02 18:00:45
95,15,Port Melbourneton,-37.811171,144.967609,2025-06-30 13:17:02
96,16,Berlin,52.52,13.405,2024-09-11 12:35:48
97,16,Mount Berlinton,52.523727,13.405741,2025-03-03 04:38:50
98,16,Mount Berlindale,52.516844,13.400514,2024-08-20 01:24:28
99,16,South Berlinwood,52.519917,13.40577,2025-03-29 18:55:37
100,16,East Berlinville,52.523111,13.409491,2025-03-15 18:36:39
101,17,Munich,48.1351,11.582,2024-06-01 17:52:09
102,17,Nuremberg,49.4521,11.0767,2024-03-14 10:10:50
103,17,West Munichhaven,48.136704,11.578571,2024-11-11 04:47:52
104,17,East Munichfield,48.134185,11.583894,2025-08-05 18:28:07
105,17,North Nurembergburg,49.449981,11.074527,2025-04-25 07:19:44
106,17,Green Munichburg,48.134351,11.582446,2025-02-16 17:32:34
107,18,Hamburg,53.5511,9.9937,2024-06-13 19:26:44
108,18,Lake Hamburgdale,53.552137,9.988959,2025-05-22 18:42:25
109,18,New Hamburgcrest,53.546502,9.996263,2025-07-17 10:29:05
110,18,New Hamburgville,53.556069,9.993059,2024-11-18 17:20:07
111,18,Mount Hamburgdale,53.550183,9.991911,2025-02-18 01:52:00
