Org_ID,Name,city,state,country,URL,Category,Description
39,Scholarship America,Minneapolis,MN,United States,https://scholarshipamerica.org/,Education,"Scholarship America is one of the leading scholarship nonprofits in Minneapolis that helps students access higher education through scholarships, financial aid programs, and advocacy, making college more affordable and attainable for all."
40,Phi Theta Kappa Honor Society,Jackson,MS,United States,https://www.ptk.org/foundation/,Education,"One of the largest nonprofits in Mississippi, Phi Theta Kappa Honor Society recognizes and encourages the academic achievement of college students and provides opportunities for growth through honors, leadership, and service programs."
41,Accountable Us,Washington,DC,United States,https://accountable.us/,Education,
42,Stand Up Survivor,Orlando,FL,United States,https://www.standupsurvivor.net/,Education,
43,Opportunity International,Chicago,IL,United States,https://opportunity.org/,Education,"Opportunity International is a Chicago charity that provides financial services and training to empower entrepreneurs in underserved areas worldwide, fostering sustainable economic growth and poverty reduction."
44,Western Governors University Ohio,Columbus,OH,United States,https://www.wgu.edu/,Education,"Western Governors University Ohio is an accredited online university in Columbus providing flexible, competency-based education to empower adult learners with affordable degree options and career advancement opportunities."
45,AmeriCorps,Washington,DC,United States,https://americorps.gov/,Education,
46,James Madison Forum,Tucson,AZ,United States,https://www.jmu.edu/admissions/apply/scholarships/index.shtml,Education,
47,FIRST,Nashua,NH,United States,https://www.firstinspires.org/,Education,"FIRST is a charity in New Hampshire that inspires young people to pursue careers in STEM through robotics competitions, mentorship, and educational programs."
48,100 Black Men USA Scholars Of Perseverance And Social Justice Scholarship,Atlanta,GA,United States,https://100blackmen.org/four-for-the-future/education/national-scholarship-program/,Education,"It is an Atlanta nonprofit that provides scholarships and mentorship to empower Black students, supporting academic achievement, perseverance, and leadership in social justice throughout Atlanta and beyond."
49,Progress Texas,Dallas,TX,United States,https://progresstexas.org/,Education,
50,Center For American Progress,Washington,DC,United States,https://www.americanprogress.org/,Education,
51,Civil Air Patrol Foundation Inc,Montgomery,AL,United States,https://www.gocivilairpatrol.com/programs/cadets/cadetinvest/academic-scholarships,Education,"Civil Air Patrol Foundation Inc. is a charity in Alabama. Supports the Civil Air Patrol’s mission of aerospace education, emergency services, and youth programs through fundraising and community engagement."
52,"CRY America, Inc.",Boston,MA,United States,https://www.cryamerica.org/,Education,"CRY America, Inc., an NGO in Boston, ensures underprivileged children's rights to education, healthcare, and protection by supporting grassroots projects and raising awareness on child rights issues."
53,The MOAA Scholarship Fund,Alexandria,VA,United States,https://www.moaa.org/content/about-moaa/scholarship-fund/scholarship-fund/,Education,
54,"Missouri State University, International Programs",Springfield,MO,United States,https://www.missouristate.edu/,Education,"Based in Springfield, Missouri State University, International Programs promotes global education by providing study abroad opportunities, international student support, and cross-cultural programs."
55,International Rescue Committee,Glendale,AZ,United States,https://www.rescue.org/,Education,"International Rescue Committee is one of the largest charities in Glendale that responds to the world’s worst humanitarian crises, providing health care, education, and economic empowerment to help refugees and displaced individuals rebuild their lives."
56,The IRC In Salt Lake City,Salt Lake City,UT,United States,https://www.rescue.org/united-states/salt-lake-city-ut,Education,"IRC is one of the top international charities in Salt Lake City, providing support and services to refugees and immigrants. Offering resettlement assistance, education, and job training to help individuals and families integrate into their communities."
57,SOS Children’s Villages USA,Washington,DC,United States,https://www.sos-usa.org/take-action/sponsor-a-child/hunger,Education,
58,Piedmont Highrise Inc,Atlanta,GA,United States,https://www.piedmont.org/sixty-plus/,Education,
59,United Negro College Fund - UNCF,Washington,DC,United States,https://uncf.org/,Education,
60,Education Forward Arizona,Phoenix,AZ,United States,https://educationforwardarizona.org/innovate/attainment/scholarships/,Education,
61,Step Up For Students,Jacksonville,FL,United States,https://www.stepupforstudents.org/,Education,
62,BuildOn,Stamford,CT,United States,https://www.buildon.org/,Education,Build On ranks among the top nonprofits in Connecticut that empowers youth to break the cycle of poverty and illiteracy through community service and building schools in developing countries.
63,Comm Workers Of Amer National Education And Training Tr,Washington,DC,United States,https://cwa-union.org/,Education,
64,National Indian Education Association,Kennewick,WA,United States,https://www.niea.org/,Education,"The National Indian Education Association is one of the leading nonprofits in Kennewick, advocating for quality education for Native American students, promoting culturally relevant curricula, and empowering Indigenous communities in Kennewick and beyond."
65,National Scholarships And Fellowships UND,Grand Forks,ND,United States,https://und.edu/academics/national-scholarships/index.html,Education,"It is a charity in North Dakota, that assists University of North Dakota students in securing national scholarships and fellowships, providing guidance and resources to enhance academic and professional opportunities."
66,The Mom Project,Chicago,IL,United States,https://themomproject.com/,Education,"The Mom Project, a charity in Chicago, connects talented mothers with flexible job opportunities, supporting working mothers to thrive in their careers while balancing family life."
67,The Horace Bushnell Memorial Hall Corporation,Hartford,CT,United States,https://bushnell.org/,Education,"The Horace Bushnell Memorial Hall Corporation is one of the largest nonprofits in Hartford that provides a premier performing arts venue, offering a diverse range of cultural, educational, and entertainment experiences to the community in Hartford."
68,Entrepreneur Collaborative Center,Tampa,FL,United States,https://hcfl.gov/locations/entrepreneur-collaborative-center,Education,
69,North Alabama Academic Foundation,Florence,AL,United States,https://catalog.una.edu/undergraduate/description-university/una-foundation/,Education,"North Alabama Academic Foundation is one of the largest nonprofits in Florence, Alabama. Enhances educational opportunities for students through scholarships, grants, and community partnerships, fostering academic excellence and success."
70,Central Asia Institute,Bozeman,MT,United States,https://centralasiainstitute.org/,Education,"Central Asia Institute is one of the top nonprofits in Bozeman, Montana, that promotes education and empowerment in remote regions of Central Asia, building schools and supporting community-led initiatives."
71,Montclair State University,Newark,NJ,United States,https://www.montclair.edu/red-hawk-central/financial-aid/scholarships/,Education,"Montclair State University is a leading public research university in Newark offering diverse academic programs, fostering innovation, and empowering students to succeed through education and community engagement."
72,United Association Of Journeymen & Apprentices Of The Plumbing & Pipe,Wichita,KS,United States,https://ua.org/,Education,"United Association of Journeymen and Apprentices of the Plumbing and Pipe, provides training, education, and advocacy for plumbing and pipefitting professionals, promoting industry standards and worker rights. It is one of the top Kansas charities."
73,Junior Achievement Usa,Colorado Springs,CO,United States,https://jausa.ja.org/,Education,"Junior Achievement USA is one of the top Colorado Springs charities. Equips youth with financial literacy, entrepreneurship, and career-readiness skills, fostering economic empowerment for future success."
74,International Association For Montessori Education,Las Vegas,NV,United States,https://montessori-ami.org/,Education,
75,Kids In Need Foundation,St. Paul,MN,United States,https://www.kinf.org/,Education,"Kids In Need Foundation is an educational nonprofit in Saint Paul, Minnesota. They provide free school supplies and resources to students in need, ensuring all children have the tools for academic success, regardless of their economic situation."
76,Legacy Coaching Institute,Chicago,IL,United States,https://www.facebook.com/legacycoachinginst/,Education,"A non-profit in Chicago, Legacy Coaching Institute, provides coaching and mentoring services to help individuals and organizations achieve personal and professional growth."
77,American Association Of University Women,Washington,DC,United States,https://www.aauw.org/resources/programs/fellowships-grants/,Education,
78,Americas Promise,Washington,DC,United States,https://americaspromise.org/,Education,
79,Civic Ventures,San Francisco,CA,United States,https://civic-ventures.com/,Education,
80,UNIVERSITY OF WEST FLORIDA FOUNDATION INC,Pensacola,FL,United States,https://uwf.edu/,Education,
