"country_id","country_name","phone_code","country_code","last_update_date","is_eu_member"
71,"FALKLAND_ISLANDS_(MALVINAS)","500","FLK",NULL,False
72,"FAROE_ISLANDS","298","FRO",NULL,False
73,"FIJI","679","FJI",NULL,False
74,"FINLAND","358","FIN",NULL,True
75,"FRANCE","33","FRA",NULL,True
76,"FRENCH_GUIANA","594","GUF",NULL,False
77,"FRENCH_POLYNESIA","689","PYF",NULL,False
78,"FRENCH_SOUTHERN_TERRITORIES","262","ATF",NULL,False
79,"GABON","241","GAB",NULL,False
80,"GAMBIA","220","GMB",NULL,False
81,"GEORGIA","995","GEO",NULL,False
82,"GERMANY","49","DEU",NULL,True
83,"GHANA","233","GHA",NULL,False
84,"GIBRALTAR","350","GIB",NULL,False
85,"GREECE","30","GRC",NULL,True
86,"GREENLAND","299","GRL",NULL,False
87,"GRENADA","1-473","GRD",NULL,False
88,"GUADELOUPE","590","GLP",NULL,False
89,"GUAM","1-671","GUM",NULL,False
90,"GUATEMALA","502","GTM",NULL,False
91,"GUERNSEY","44","GGY",NULL,False
92,"GUINEA","224","GIN",NULL,False
93,"GUINEA-BISSAU","245","GNB",NULL,False
94,"GUYANA","592","GUY",NULL,False
95,"HAITI","509","HTI",NULL,False
96,"HEARD_AND_MCDONALD_ISLANDS","672","HM",NULL,False
97,"HONDURAS","504","HND",NULL,False
98,"HONG_KONG_SAR ","853","HK",NULL,False
99,"HUNGARY","36","HUN",NULL,True
100,"ICELAND","354","ISL",NULL,False
101,"INDIA","91","IND",NULL,False
102,"INDONESIA","62","IDN",NULL,False
103,"IRAN","98","IRN",NULL,False
104,"IRAQ","964","IRQ",NULL,False
105,"IRELAND","353","IRL",NULL,True
106,"ISRAEL","972","ISR",NULL,False
107,"ITALY","39","ITA",NULL,True
108,"JAMAICA","1-876","JAM",NULL,False
109,"JAPAN","81","JPN",NULL,False
110,"JERSEY","44","JEY",NULL,False
111,"JORDAN","962","JOR",NULL,False
112,"KAZAKHSTAN","7","KAZ",NULL,False
113,"KENYA","254","KEN",NULL,False
114,"KIRIBATI","686","KIR",NULL,False
115,"NORTH_KOREA","850","KP",NULL,False
116,"SOUTH_KOREA","82","KR",NULL,False
117,"KUWAIT","965","KWT",NULL,False
118,"KYRGYZSTAN","996","KGZ",NULL,False
119,"LAOS","856","LA",NULL,False
120,"LATVIA","371","LVA",NULL,True
121,"LEBANON","961","LBN",NULL,False
122,"LESOTHO","266","LSO",NULL,False
123,"LIBERIA","231","LBR",NULL,False
124,"LIBYA","218","LBY",NULL,False
125,"LIECHTENSTEIN","423","LIE",NULL,False
126,"LITHUANIA","370","LTU",NULL,True
127,"LUXEMBOURG","352","LUX",NULL,True
129,"NORTH_MACEDONIA","389","MK",NULL,False
130,"MADAGASCAR","261","MDG",NULL,False
131,"MALAWI","265","MWI",NULL,False
132,"MALAYSIA","60","MYS",NULL,False
133,"MALDIVES","960","MDV",NULL,False
134,"MALI","223","MLI",NULL,False
135,"MALTA","356","MLT",NULL,True
137,"MARSHALL_ISLANDS","692","MHL",NULL,False
138,"MARTINIQUE","596","MTQ",NULL,False
139,"MAURITANIA","222","MRT",NULL,False
140,"MAURITIUS","230","MUS",NULL,False
141,"MAYOTTE","262","MYT",NULL,False
142,"MEXICO","52","MEX",NULL,False
143,"MICRONESIA","691","FSM",NULL,False
144,"MOLDOVA","373","MDA",NULL,False
145,"MONACO","377","MCO",NULL,False
146,"MONGOLIA","976","MNG",NULL,False
147,"MONTENEGRO","382","MNE",NULL,False
148,"MONTSERRAT","1-664","MSR",NULL,False
149,"MOROCCO","212","MAR",NULL,False
150,"MOZAMBIQUE","258","MOZ",NULL,False
151,"MYANMAR","95","MMR",NULL,False
152,"NAMIBIA","264","NAM",NULL,False
153,"NAURU","674","NRU",NULL,False
154,"NEPAL","977","NPL",NULL,False
155,"CARIBBEAN_NETHERLANDS","31","NLD",NULL,False
156,"NETHERLANDS","599","AN",NULL,True
157,"NEW_CALEDONIA","687","NCL",NULL,False
158,"NEW_ZEALAND","64","NZL",NULL,False
159,"NICARAGUA","505","NIC",NULL,False
160,"NIGER","227","NER",NULL,False
161,"NIGERIA","234","NGA",NULL,False
162,"NIUE","683","NIU",NULL,False
163,"NORFOLK_ISLAND","672","NFK",NULL,False
164,"NORTHERN_MARIANA_ISLANDS","1-670","MNP",NULL,False
165,"NORWAY","47","NOR",NULL,False
166,"OMAN","968","OMN",NULL,False
167,"PAKISTAN","92","PAK",NULL,False
168,"PALAU","680","PLW",NULL,False
169,"PALESTINIAN","970","PS",NULL,False
170,"PANAMA","507","PAN",NULL,False
171,"PAPUA_NEW_GUINEA","675","PNG",NULL,False
172,"PARAGUAY","595","PRY",NULL,False
173,"PERU","51","PER",NULL,False
174,"PHILIPPINES","63","PHL",NULL,False
175,"PITCAIRN","870","PCN",NULL,False
176,"POLAND","48","POL",NULL,True
177,"PORTUGAL","351","PRT",NULL,True
178,"PUERTO_RICO","1","PRI",NULL,False
179,"QATAR","974","QAT",NULL,False
180,"REUNION","262","REU",NULL,False
181,"ROMANIA","40","ROU",NULL,True
182,"RUSSIAN_FEDERATION","7","RUS",NULL,False
183,"RWANDA","250","RWA",NULL,False
184,"SAINT_BARTHELEMY","590","BL",NULL,False
185,"SAINT_KITTS_AND_NEVIS","1-869","KNA",NULL,False
186,"SAINT_LUCIA","1-758","LCA",NULL,False
187,"SAINT_MARTIN","590","MF",NULL,False
188,"SAINT_VINCENT_AND_GRENADINES","1-784","VC",NULL,False
189,"SAINT_HELENA","290","SH-HL",NULL,False
190,"SAINT_PIERRE_AND_MIQUELON","508","SPM",NULL,False
191,"SAMOA","685","WSM",NULL,False
192,"SAN_MARINO","378","SMR",NULL,False
193,"SAO_TOME_AND_PRINCIPE","239","STP",NULL,False
194,"SAUDI_ARABIA","966","SAU",NULL,False
195,"SENEGAL","221","SEN",NULL,False
196,"SERBIA","381","SRB",NULL,False
197,"SEYCHELLES","248","SYC",NULL,False
198,"SIERRA_LEONE","232","SLE",NULL,False
199,"SINGAPORE","65","SGP",NULL,False
200,"SLOVAKIA","421","SVK",NULL,True
201,"SLOVENIA","386","SVN",NULL,True
202,"SOLOMON_ISLANDS","677","SLB",NULL,False
203,"SOMALIA","252","SOM",NULL,False
204,"SOUTH_AFRICA","27","ZAF",NULL,False
205,"SOUTH_GEORGIA_AND_SOUTH_SANDWICH_ISLANDS","500","GS",NULL,False
206,"SOUTH_SUDAN","211","SSD",NULL,False
207,"SPAIN","34","ESP",NULL,True
208,"SRI_LANKA","94","LKA",NULL,False
209,"SUDAN","249","SDN",NULL,False
210,"SURINAME","597","SUR",NULL,False
211,"SVALBARD_AND_JAN_MAYEN_ISLANDS","47","SJ",NULL,False
212,"ESWANTINI","268","SZ",NULL,False
213,"SWEDEN","46","SWE",NULL,True
214,"SWITZERLAND","41","CHE",NULL,False
215,"SYRIA","963","SY",NULL,False
216,"TAIWAN","886","TW",NULL,False
217,"TAJIKISTAN","992","TJK",NULL,False
218,"TANZANIA","255","TZA",NULL,False
219,"THAILAND","66","THA",NULL,False
220,"TOGO","228","TGO",NULL,False
221,"TOKELAU","690","TKL",NULL,False
222,"TONGA","676","TON",NULL,False
223,"TRINIDAD_AND_TOBAGO","1-868","TTO",NULL,False
224,"TUNISIA","216","TUN",NULL,False
225,"TURKEY","90","TR",NULL,False
226,"TURKMENISTAN","993","TKM",NULL,False
227,"TURKS_AND_CAICOS_ISLANDS","1-649","TCA",NULL,False
228,"TUVALU","688","TUV",NULL,False
229,"UGANDA","256","UGA",NULL,False
230,"UKRAINE","380","UKR",NULL,False
231,"UNITED_ARAB_EMIRATES","971","ARE",NULL,False
232,"UNITED_KINGDOM","44","GBR",NULL,False
233,"UNITED_STATES_OF_AMERICA","1","USA",NULL,False
234,"US_MINOR_OUTLYING_ISLANDS","1","UM",NULL,False
235,"URUGUAY","598","URY",NULL,False
236,"UZBEKISTAN","998","UZB",NULL,False
237,"VANUATU","678","VUT",NULL,False
238,"VENEZUELA","58","VE",NULL,False
240,"VIETNAM","84","VNM",NULL,False
242,"UNITED_STATES_VIRGIN_ISLANDS","1-340","US_VI",NULL,False
243,"WALLIS_AND_FUTUNA","681","WF",NULL,False
244,"WESTERN_SAHARA","212","ESH",NULL,False
245,"YEMEN","967","YEM",NULL,False
246,"ZAMBIA","260","ZMB",NULL,False
247,"ZIMBABWE","263","ZWE",NULL,False
