"item_id","field_id","item_value","item_type"
"2.3.E.4","2.3.E","OTHER","radiobutton"
"2.3.F.1","2.3.F","IMMEDIATE_LESS_THAN_6HRS","radiobutton"
"2.3.F.2","2.3.F","URGENT_LESS_THAN_24HRS","radiobutton"
"2.3.F.3","2.3.F","SOON_LESS_THAN_48HRS","radiobutton"
"2.4.A.1","2.4.A","MEN","checkbox"
"2.4.A.2","2.4.A","WOMEN","checkbox"
"2.4.A.3","2.4.A","UNISEX","checkbox"
"2.4.B.1","2.4.B","BABY_0_2_YEARS","checkbox"
"2.4.B.2","2.4.B","CHILD_3_12_YEARS","checkbox"
"2.4.B.3","2.4.B","TEEN_13_18_YEARS","checkbox"
"2.4.B.4","2.4.B","ADULT_19_64_YEARS","checkbox"
"2.4.B.5","2.4.B","ELDERLY_65_ABOVE_YEARS","checkbox"
"2.4.C.1","2.4.C","SHIRT","checkbox"
"2.4.C.2","2.4.C","PANTS","checkbox"
"2.4.C.3","2.4.C","DRESS","checkbox"
"2.4.C.4","2.4.C","SKIRT","checkbox"
"2.4.C.5","2.4.C","JACKET_COAT","checkbox"
"2.4.C.6","2.4.C","SUIT","checkbox"
"2.4.C.7","2.4.C","SAREE_TRADITIONAL_WEAR","checkbox"
"2.4.C.8","2.4.C","ACCESSORIES","checkbox"
"2.4.C.9","2.4.C","OTHER","checkbox"
"2.4.D.1","2.4.D","DROP_OFF","radiobutton"
"2.4.D.2","2.4.D","PICK_UP","radiobutton"
"2.4.D.3","2.4.D","MAIL_IN","radiobutton"
"3.10.A.1","3.10.A","FURNITURE","checkbox"
"3.10.A.2","3.10.A","MAJOR_APPLIANCES","checkbox"
"3.10.A.3","3.10.A","SMALL_ELECTRONICS","checkbox"
"3.10.A.4","3.10.A","KITCHENWARE_COOKWARE","checkbox"
"3.10.A.5","3.10.A","GARDENING_OUTDOOR_EQUIPMENT","checkbox"
"3.10.A.6","3.10.A","OTHER","checkbox"
"3.10.B.1","3.10.B","PRICING_VALUATION_GUIDANCE","checkbox"
"3.10.B.2","3.10.B","BEST_SELLING_PLATFORM","checkbox"
"3.10.B.3","3.10.B","LISTING_CREATION_PHOTO_TAKING","checkbox"
"3.10.B.4","3.10.B","BUYER_COMMUNICATION_SAFETY","checkbox"
"3.10.C.1","3.10.C","NEW_WITH_TAGS","checkbox"
"3.10.C.2","3.10.C","GENTLY_USED_GOOD_CONDITION","checkbox"
"3.10.C.3","3.10.C","USED_WEAR_AND_TEAR","checkbox"
"3.10.C.4","3.10.C","NEEDS_REPAIR","checkbox"
"3.10.D.1","3.10.D","MUST_GO_IMMEDIATELY","textbox"
"3.10.D.2","3.10.D","WITHIN_1_MONTH","textbox"
"3.10.D.3","3.10.D","FLEXIBLE","textbox"
"3.1.A.1","3.1.A","LEASE_REVIEW_PRE_SIGNING","radiobutton"
"3.1.A.2","3.1.A","LEASE_INTERPRETATION_POST_SIGNING","radiobutton"
"3.1.A.3","3.1.A","LEASE_TERMINATION_BREAK_CLAUSE_REVIEW","radiobutton"
"3.1.A.4","3.1.A","EVICTION_NOTICE_NON_RENEWAL_REVIEW","radiobutton"
"3.1.A.5","3.1.A","OTHER","radiobutton"
"3.1.B.1","3.1.B","ENGLISH","checkbox"
"3.1.B.2","3.1.B","SPANISH","checkbox"
"3.1.B.3","3.1.B","MANDARIN","checkbox"
"3.1.B.4","3.1.B","FRENCH","checkbox"
"3.1.B.5","3.1.B","OTHER","checkbox"
"3.1.C.1","3.1.C","IMMEDIATE_NEXT_24_TO_48_HOURS","radiobutton"
"3.1.C.2","3.1.C","WITHIN_1_WEEK","radiobutton"
"3.1.C.3","3.1.C","WITHIN_1_MONTH","radiobutton"
"3.1.C.4","3.1.C","FLEXIBLE","radiobutton"
"3.2.A.1","3.2.A","UNLAWFUL_RENT_INCREASE","checkbox"
"3.2.A.2","3.2.A","EVICTION_LOCKOUT_ILLEGAL_ACTION","checkbox"
"3.2.A.3","3.2.A","HEALTH_SAFETY_MAINTENANCE_ISSUES","checkbox"
"3.2.A.4","3.2.A","SECURITY_DEPOSIT_RETURN_DISPUTE","checkbox"
"3.2.A.5","3.2.A","DISCRIMINATION_HARASSMENT","checkbox"
"3.2.A.6","3.2.A","OTHER_TENANT_RIGHTS_ISSUE","checkbox"
"3.2.B.1","3.2.B","INITIAL_CONCERN_REQUESTING_ADVICE","radiobutton"
"3.2.B.2","3.2.B","FORMAL_LETTER_NOTICE EXCHANGED","radiobutton"
"3.2.B.3","3.2.B","FILED_WITH_HOUSING_TENANCY_BOARD","radiobutton"
"3.2.B.4","3.2.B","COURT_LEGAL_ACTION_INITIATED","radiobutton"
"3.2.C.1","3.2.C","LEASE_AGREEMENT","checkbox"
"3.2.C.2","3.2.C","NOTICE_OF_RENT_INCREASE_EVICTION","checkbox"
"3.2.C.3","3.2.C","COMMUNICATION_LOGS","checkbox"
"3.2.C.4","3.2.C","PHOTOS_VIDEOS_OF_ISSUE","checkbox"
"3.2.C.5","3.2.C","NO_DOCUMENTS_AVAILABLE","checkbox"
"3.2.E.1","3.2.E","IMMEDIATE_NEXT_24_TO_48_HOURS","radiobutton"
"3.2.E.2","3.2.E","WITHIN_1_WEEK","radiobutton"
"3.2.E.3","3.2.E","WITHIN_1_MONTH","radiobutton"
"3.2.E.4","3.2.E","FLEXIBLE","radiobutton"
"3.3.10.A.1","3.3.10.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.10.A.2","3.3.10.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.10.A.3","3.3.10.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.10.A.4","3.3.10.A","FLEXIBLE","radiobutton"
"3.3.10.B.1","3.3.10.B","WEEKDAY_MORNINGS","checkbox"
"3.3.10.B.2","3.3.10.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.10.B.3","3.3.10.B","EVENINGS","checkbox"
"3.3.10.B.4","3.3.10.B","WEEKENDS","checkbox"
"3.3.11.A.1","3.3.11.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.11.A.2","3.3.11.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.11.A.3","3.3.11.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.11.A.4","3.3.11.A","FLEXIBLE","radiobutton"
"3.3.11.B.1","3.3.11.B","WEEKDAY_MORNINGS","checkbox"
"3.3.11.B.2","3.3.11.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.11.B.3","3.3.11.B","EVENINGS","checkbox"
"3.3.11.B.4","3.3.11.B","WEEKENDS","checkbox"
"3.3.12.A.1","3.3.12.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.12.A.2","3.3.12.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.12.A.3","3.3.12.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.12.A.4","3.3.12.A","FLEXIBLE","radiobutton"
"3.3.12.B.1","3.3.12.B","WEEKDAY_MORNINGS","checkbox"
"3.3.12.B.2","3.3.12.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.12.B.3","3.3.12.B","EVENINGS","checkbox"
"3.3.12.B.4","3.3.12.B","WEEKENDS","checkbox"
"3.3.13.A.1","3.3.13.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.13.A.2","3.3.13.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.13.A.3","3.3.13.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.13.A.4","3.3.13.A","FLEXIBLE","radiobutton"
"3.3.13.B.1","3.3.13.B","WEEKDAY_MORNINGS","checkbox"
"3.3.13.B.2","3.3.13.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.13.B.3","3.3.13.B","EVENINGS","checkbox"
"3.3.13.B.4","3.3.13.B","WEEKENDS","checkbox"
"3.3.1.A.1","3.3.1.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.1.A.2","3.3.1.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.1.A.3","3.3.1.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.1.A.4","3.3.1.A","FLEXIBLE","radiobutton"
"3.3.1.B.1","3.3.1.B","WEEKDAY_MORNINGS","checkbox"
"3.3.1.B.2","3.3.1.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.1.B.3","3.3.1.B","EVENINGS","checkbox"
"3.3.1.B.4","3.3.1.B","WEEKENDS","checkbox"
"3.3.2.A.1","3.3.2.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.2.A.2","3.3.2.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.2.A.3","3.3.2.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.2.A.4","3.3.2.A","FLEXIBLE","radiobutton"
"3.3.2.B.1","3.3.2.B","WEEKDAY_MORNINGS","checkbox"
"3.3.2.B.2","3.3.2.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.2.B.3","3.3.2.B","EVENINGS","checkbox"
"3.3.2.B.4","3.3.2.B","WEEKENDS","checkbox"
"3.3.3.A.1","3.3.3.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.3.A.2","3.3.3.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.3.A.3","3.3.3.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.3.A.4","3.3.3.A","FLEXIBLE","radiobutton"
"3.3.3.B.1","3.3.3.B","WEEKDAY_MORNINGS","checkbox"
"3.3.3.B.2","3.3.3.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.3.B.3","3.3.3.B","EVENINGS","checkbox"
"3.3.3.B.4","3.3.3.B","WEEKENDS","checkbox"
"3.3.4.A.1","3.3.4.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.4.A.2","3.3.4.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.4.A.3","3.3.4.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.4.A.4","3.3.4.A","FLEXIBLE","radiobutton"
"3.3.4.B.1","3.3.4.B","WEEKDAY_MORNINGS","checkbox"
"3.3.4.B.2","3.3.4.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.4.B.3","3.3.4.B","EVENINGS","checkbox"
"3.3.4.B.4","3.3.4.B","WEEKENDS","checkbox"
"3.3.5.A.1","3.3.5.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.5.A.2","3.3.5.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.5.A.3","3.3.5.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.5.A.4","3.3.5.A","FLEXIBLE","radiobutton"
"3.3.5.B.1","3.3.5.B","WEEKDAY_MORNINGS","checkbox"
"3.3.5.B.2","3.3.5.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.5.B.3","3.3.5.B","EVENINGS","checkbox"
"3.3.5.B.4","3.3.5.B","WEEKENDS","checkbox"
"3.3.6.A.1","3.3.6.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.6.A.2","3.3.6.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.6.A.3","3.3.6.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.6.A.4","3.3.6.A","FLEXIBLE","radiobutton"
"3.3.6.B.1","3.3.6.B","WEEKDAY_MORNINGS","checkbox"
"3.3.6.B.2","3.3.6.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.6.B.3","3.3.6.B","EVENINGS","checkbox"
"3.3.6.B.4","3.3.6.B","WEEKENDS","checkbox"
"3.3.7.A.1","3.3.7.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.7.A.2","3.3.7.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.7.A.3","3.3.7.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.7.A.4","3.3.7.A","FLEXIBLE","radiobutton"
"3.3.7.B.1","3.3.7.B","WEEKDAY_MORNINGS","checkbox"
"3.3.7.B.2","3.3.7.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.7.B.3","3.3.7.B","EVENINGS","checkbox"
"3.3.7.B.4","3.3.7.B","WEEKENDS","checkbox"
"3.3.8.A.1","3.3.8.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.8.A.2","3.3.8.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.8.A.3","3.3.8.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.8.A.4","3.3.8.A","FLEXIBLE","radiobutton"
"3.3.8.B.1","3.3.8.B","WEEKDAY_MORNINGS","checkbox"
"3.3.8.B.2","3.3.8.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.8.B.3","3.3.8.B","EVENINGS","checkbox"
"3.3.8.B.4","3.3.8.B","WEEKENDS","checkbox"
"3.3.9.A.1","3.3.9.A","EMERGENCY_LESS_THAN_4_HOURS","radiobutton"
"3.3.9.A.2","3.3.9.A","URGENT_IN_24_HOURS","radiobutton"
"3.3.9.A.3","3.3.9.A","STANDARD_WITHIN_1_WEEK","radiobutton"
"3.3.9.A.4","3.3.9.A","FLEXIBLE","radiobutton"
"3.3.9.B.1","3.3.9.B","WEEKDAY_MORNINGS","checkbox"
"3.3.9.B.2","3.3.9.B","WEEKDAY_AFTERNOONS","checkbox"
"3.3.9.B.3","3.3.9.B","EVENINGS","checkbox"
"3.3.9.B.4","3.3.9.B","WEEKENDS","checkbox"
"3.4.A.1","3.4.A","UTILITY_CONNECTION","checkbox"
"3.4.A.10","3.4.A","GARDEN_CARE","checkbox"
"3.4.A.11","3.4.A","OTHER","checkbox"
"3.4.A.2","3.4.A","INTERNET_SETUP","checkbox"
"3.4.A.3","3.4.A","CABLE_SETUP","checkbox"
"3.4.A.4","3.4.A","PHONE_SETUP","checkbox"
"3.4.A.5","3.4.A","TV_INSTALLATION","checkbox"
"3.4.A.6","3.4.A","WIFI_SETUP","checkbox"
"3.4.A.7","3.4.A","FURNITURE_ASSEMBLY_SETUP","checkbox"
"3.4.A.8","3.4.A","HOUSEHOLD_GOODS","checkbox"
"3.4.A.9","3.4.A","GENERAL_OUTDOOR_MAINTENANCE","checkbox"
"3.4.B.1","3.4.B","AVAILABLE_AT_LOCATION","radiobutton"
"3.4.B.2","3.4.B","BEFORE_MOVE_IN","radiobutton"
"3.4.B.3","3.4.B","POST_MOVE_IN","radiobutton"
"3.4.B.4","3.4.B","FLEXIBLE","radiobutton"
"3.5.A.1","3.5.A","APARTMENT_CONDO","radiobutton"
"3.5.A.2","3.5.A","HOUSE_TOWNHOME","radiobutton"
"3.5.A.3","3.5.A","ROOM_SHARED_HOUSING","radiobutton"
"3.5.A.4","3.5.A","STUDIO","radiobutton"
"3.5.B.1","3.5.B","NEW_LEASE","radiobutton"
"3.5.B.2","3.5.B","SUBLET","radiobutton"
"3.5.B.3","3.5.B","LEASE_TRANSFER","radiobutton"
"3.5.B.4","3.5.B","MONTH_TO_MONTH","radiobutton"
"3.5.B.5","3.5.B","DOESNT_MATTER","radiobutton"
"3.5.C.1","3.5.C","MINIMUM_BUDGET","currency"
"3.5.C.2","3.5.C","MAXIMUM_BUDGET","currency"
"3.5.D.1","3.5.D","IMMEDIATELY","radiobutton"
"3.5.D.2","3.5.D","WITHIN_1_MONTH","radiobutton"
"3.5.D.3","3.5.D","1_TO_3_MONTHS","radiobutton"
"3.5.D.4","3.5.D","FLEXIBLE","radiobutton"
"3.5.E.1","3.5.E","SAME_GENDER","checkbox"
"3.5.E.2","3.5.E","PET_FRIENDLY","checkbox"
"3.5.E.3","3.5.E","NON_SMOKING","checkbox"
"3.5.E.4","3.5.E","WORK_SCHEDULE","checkbox"
"3.5.E.5","3.5.E","GUEST_POLICY","checkbox"
"3.5.H.1","3.5.H","PARKING_SPACE_AVAILABLE","checkbox"
"3.5.H.2","3.5.H","FURNITURE_PROVIDED","checkbox"
"3.6.A.1","3.6.A","LISTING_A_FULL_UNIT","radiobutton"
"3.6.A.2","3.6.A","LISTING_A_ROOM","radiobutton"
"3.6.B.1","3.6.B","APARTMENT_CONDO","radiobutton"
"3.6.B.2","3.6.B","HOUSE_TOWNHOME","radiobutton"
"3.6.B.3","3.6.B","ROOM_SHARED_HOUSING","radiobutton"
"3.6.C.1","3.6.C","NEW_LEASE","radiobutton"
"3.6.C.2","3.6.C","SUBLET","radiobutton"
"3.6.C.3","3.6.C","LEASE_TRANSFER","radiobutton"
"3.6.C.4","3.6.C","MONTH_TO_MONTH","radiobutton"
"3.6.C.5","3.6.C","DOESNT_MATTER","radiobutton"
"3.6.E.1","3.6.E","UTILITED_INCLUDED","radiobutton"
"3.6.E.2","3.6.E","UTILITIES_NOT_INCLUDED","radiobutton"
"3.6.E.3","3.6.E","UTILITIES_PARTIALLY_INCLUDED","radiobutton"
"3.6.F.1","3.6.F","IMMEDIATELY","radiobutton"
"3.6.F.2","3.6.F","WITHIN_1_MONTH","radiobutton"
"3.6.F.3","3.6.F","1_TO_3_MONTHS","radiobutton"
"3.6.F.4","3.6.F","FLEXIBLE","radiobutton"
"3.6.H.1","3.6.H","PRIVATE_BATHROOM","checkbox"
"3.6.H.2","3.6.H","PARKING_AVAILABLE","checkbox"
"3.6.H.3","3.6.H","FURNITURE_PROVIDED","checkbox"
"3.6.I.1","3.6.I","MEN","radiobutton"
